epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2669.48,0.93456,0.97644,1.126,0.49041,0.88245,0.62216,0.42507,1.06693,1.04451,1.25109,0.000709809,0.000709809,0.000709809
60,2712.67,0.9192,0.98156,1.13182,0.51381,0.81487,0.58433,0.399,1.13017,1.09489,1.28773,0.000693305,0.000693305,0.000693305
61,2753.66,0.92919,0.96612,1.13267,0.50119,0.84305,0.58096,0.39674,1.14663,1.07839,1.31109,0.000676802,0.000676802,0.000676802
62,2794.24,0.91722,0.95643,1.11465,0.50827,0.79739,0.60499,0.4145,1.13787,1.08358,1.30655,0.000660299,0.000660299,0.000660299
63,2835.11,0.92421,0.95378,1.12399,0.50666,0.8163,0.60087,0.41276,1.14005,1.06354,1.30849,0.000643795,0.000643795,0.000643795
64,2876,0.91317,0.97211,1.11358,0.49109,0.84744,0.60999,0.42115,1.08555,1.05039,1.2661,0.000627292,0.000627292,0.000627292
65,2915.07,0.88439,0.93011,1.0956,0.47263,0.863,0.60782,0.42492,1.10282,1.06991,1.31572,0.000610789,0.000610789,0.000610789
66,2955.93,0.89654,0.91455,1.11525,0.46977,0.82784,0.57882,0.39722,1.09508,1.09579,1.28547,0.000594286,0.000594286,0.000594286
67,2999.56,0.89624,0.92397,1.10274,0.49162,0.86183,0.61041,0.41638,1.12823,1.03878,1.34354,0.000577782,0.000577782,0.000577782
68,3044.1,0.87636,0.92173,1.09655,0.48894,0.87536,0.59863,0.42883,1.04596,1.06885,1.25905,0.000561279,0.000561279,0.000561279
69,3090.3,0.89214,0.93584,1.11369,0.51929,0.76125,0.57275,0.39365,1.07633,1.12865,1.28683,0.000544776,0.000544776,0.000544776
70,3132.87,0.89651,0.91495,1.12838,0.51594,0.841,0.61235,0.4317,1.05516,1.02581,1.24979,0.000528272,0.000528272,0.000528272
71,3189.72,0.89209,0.90319,1.10462,0.52362,0.80681,0.62771,0.43458,1.07625,1.01574,1.2666,0.000511769,0.000511769,0.000511769
72,3235.1,0.89092,0.91445,1.12245,0.49548,0.81991,0.59632,0.41295,1.0945,1.0708,1.30805,0.000495266,0.000495266,0.000495266
73,3275.78,0.85233,0.89696,1.07683,0.47872,0.82352,0.5777,0.39358,1.15478,1.09381,1.28871,0.000478762,0.000478762,0.000478762
74,3316.3,0.84859,0.86883,1.07716,0.48327,0.87071,0.60647,0.42885,1.07313,1.06402,1.25966,0.000462259,0.000462259,0.000462259
75,3357.71,0.83717,0.8734,1.08236,0.53821,0.78557,0.61609,0.4306,1.06785,1.04791,1.26686,0.000445756,0.000445756,0.000445756
76,3396.88,0.8528,0.86377,1.0903,0.50103,0.84945,0.59653,0.42256,1.06093,1.04622,1.27585,0.000429253,0.000429253,0.000429253
77,3437.04,0.85159,0.85402,1.09215,0.47919,0.87309,0.56589,0.40139,1.0501,1.07978,1.28446,0.000412749,0.000412749,0.000412749
78,3478.1,0.80482,0.82438,1.06479,0.55279,0.73025,0.61896,0.4403,1.05525,1.05453,1.26186,0.000396246,0.000396246,0.000396246
79,3521.73,0.81153,0.81543,1.06377,0.5112,0.7841,0.6137,0.42794,1.05576,1.05846,1.26783,0.000379743,0.000379743,0.000379743
80,3561.91,0.85213,0.83966,1.08198,0.49556,0.8457,0.60846,0.43486,1.05897,1.06109,1.2738,0.000363239,0.000363239,0.000363239
81,3603.48,0.81173,0.80065,1.06907,0.5547,0.75909,0.62209,0.44679,1.04145,1.04488,1.24862,0.000346736,0.000346736,0.000346736
82,3650.2,0.81729,0.79956,1.06797,0.51295,0.79757,0.59566,0.42348,1.0645,1.10414,1.27305,0.000330233,0.000330233,0.000330233
83,3698.99,0.78624,0.80243,1.04243,0.50551,0.82003,0.60006,0.43155,1.05795,1.03662,1.27309,0.000313729,0.000313729,0.000313729
84,3740.66,0.80929,0.78924,1.07305,0.52428,0.80278,0.61783,0.44138,1.05647,1.05366,1.27706,0.000297226,0.000297226,0.000297226
85,3782.26,0.81059,0.7678,1.06304,0.51027,0.82498,0.6175,0.43107,1.06254,1.05611,1.27346,0.000280723,0.000280723,0.000280723
86,3824.22,0.78116,0.75743,1.05323,0.52144,0.80022,0.59755,0.42094,1.08259,1.08187,1.2885,0.00026422,0.00026422,0.00026422
87,3865.5,0.75638,0.72787,1.04249,0.49918,0.82585,0.59848,0.42868,1.02633,1.08389,1.26309,0.000247716,0.000247716,0.000247716
88,3908.99,0.78978,0.72131,1.04358,0.52868,0.79762,0.61875,0.44714,1.02764,1.03122,1.26623,0.000231213,0.000231213,0.000231213
89,3949.44,0.76049,0.69376,1.05583,0.51223,0.81891,0.6132,0.43076,1.08933,1.08192,1.3001,0.00021471,0.00021471,0.00021471
90,3990.55,0.76003,0.72763,1.04493,0.52204,0.79276,0.61636,0.43924,1.03973,1.09148,1.25806,0.000198206,0.000198206,0.000198206
91,4038.11,0.72983,0.73276,1.03281,0.53803,0.82151,0.6145,0.45449,1.03281,1.04555,1.26675,0.000181703,0.000181703,0.000181703
92,4086.65,0.70965,0.70083,1.01758,0.50843,0.82108,0.60396,0.44149,1.0318,1.09433,1.2718,0.0001652,0.0001652,0.0001652
93,4127.2,0.69084,0.65475,1.00059,0.55195,0.78743,0.62719,0.45562,1.03089,1.08958,1.27054,0.000148696,0.000148696,0.000148696
94,4180.22,0.68838,0.6242,1.00345,0.55195,0.79589,0.63534,0.46492,1.0216,1.04614,1.2641,0.000132193,0.000132193,0.000132193
95,4235.19,0.68081,0.62264,0.99846,0.52226,0.79737,0.60813,0.43788,1.02744,1.13008,1.27839,0.00011569,0.00011569,0.00011569
96,4281.39,0.67765,0.60269,0.99077,0.49962,0.83131,0.59467,0.42962,1.02465,1.15019,1.27489,9.91865e-05,9.91865e-05,9.91865e-05
97,4323.57,0.67469,0.58069,0.98813,0.51859,0.81059,0.62683,0.45175,1.03483,1.10872,1.27834,8.26832e-05,8.26832e-05,8.26832e-05
98,4364.87,0.66886,0.56621,1.00218,0.55699,0.7648,0.63278,0.45761,1.04295,1.11559,1.27864,6.61799e-05,6.61799e-05,6.61799e-05
99,4412.18,0.66534,0.5746,0.99286,0.55645,0.74439,0.62254,0.45446,1.02729,1.13401,1.27234,4.96766e-05,4.96766e-05,4.96766e-05
100,4455.56,0.64917,0.55975,0.99397,0.54118,0.73372,0.6143,0.44732,1.03625,1.13831,1.28174,3.31733e-05,3.31733e-05,3.31733e-05
